Date, Open, High, Low, Close, Volume
03/14/24, 172.91, 174.3078, 172.05, 173.00, 72913516
03/13/24, 172.77, 173.185, 170.76, 171.13, 52488688
03/12/24, 173.15, 174.03, 171.01, 173.23, 59825367
03/11/24, 172.94, 174.38, 172.05, 172.75, 60139473
03/08/24, 169.00, 173.70, 168.94, 170.73, 76267039
03/07/24, 169.15, 170.73, 168.49, 169.00, 71765055
03/06/24, 171.06, 171.24, 168.68, 169.12, 68587711
03/05/24, 170.76, 172.04, 169.62, 170.12, 95132359
03/04/24, 176.15, 176.90, 173.79, 175.10, 81510094
03/01/24, 179.55, 180.53, 177.38, 179.66, 73563078
02/29/24, 181.27, 182.57, 179.53, 180.75, 136682594
02/28/24, 182.51, 183.12, 180.13, 181.42, 48953941
02/27/24, 181.10, 183.9225, 179.56, 182.63, 54318848
02/26/24, 182.24, 182.76, 180.65, 181.16, 40867422
02/23/24, 185.01, 185.04, 182.23, 182.52, 45119680
02/22/24, 183.48, 184.955, 182.46, 184.37, 52292207
02/21/24, 181.94, 182.8888, 180.66, 182.32, 41529672
02/20/24, 181.79, 182.43, 180.00, 181.56, 53665551
02/16/24, 183.42, 184.85, 181.665, 182.31, 49752473
02/15/24, 183.55, 184.49, 181.35, 183.86, 65434500
02/14/24, 185.32, 185.53, 182.44, 184.15, 54630520
02/13/24, 185.77, 186.21, 183.5128, 185.04, 56529527
02/12/24, 188.415, 188.67, 186.79, 187.15, 41781930
02/09/24, 188.65, 189.99, 188.00, 188.85, 45155219
02/08/24, 189.385, 189.535, 187.35, 188.32, 40962047
02/07/24, 190.64, 191.05, 188.61, 189.41, 53438961
02/06/24, 186.86, 189.31, 186.7695, 189.30, 43490762
02/05/24, 188.15, 189.25, 185.84, 187.68, 69668812
02/02/24, 179.86, 187.33, 179.25, 185.85, 102551695
02/01/24, 183.985, 186.95, 183.82, 186.86, 64885406
01/31/24, 187.04, 187.095, 184.35, 184.40, 55467801
01/30/24, 190.94, 191.80, 187.47, 188.04, 55859367
01/29/24, 192.01, 192.20, 189.58, 191.73, 47145621
01/26/24, 194.27, 194.76, 191.94, 192.42, 44594008
01/25/24, 195.22, 196.2675, 193.1125, 194.17, 54822129
01/24/24, 195.42, 196.38, 194.34, 194.50, 53631320
01/23/24, 195.02, 195.75, 193.8299, 195.18, 42355594
01/22/24, 192.30, 195.33, 192.26, 193.89, 60133848
01/19/24, 189.33, 191.95, 188.82, 191.56, 68902992
01/18/24, 186.09, 189.14, 185.83, 188.63, 78005750
01/17/24, 181.27, 182.93, 180.30, 182.68, 47317434
01/16/24, 182.16, 184.26, 180.934, 183.63, 65603039
01/12/24, 186.06, 186.74, 185.19, 185.92, 40477781
01/11/24, 186.54, 187.05, 183.62, 185.59, 49128406
01/10/24, 184.35, 186.40, 183.92, 186.19, 46792910
01/09/24, 183.92, 185.15, 182.73, 185.14, 42841809
01/08/24, 182.085, 185.60, 181.50, 185.56, 59144473
01/05/24, 181.99, 182.76, 180.17, 181.18, 62379660
01/04/24, 182.15, 183.0872, 180.88, 181.91, 71983570
01/03/24, 184.22, 185.88, 183.43, 184.25, 58414461
01/02/24, 187.15, 188.44, 183.885, 185.64, 82488672
12/29/23, 193.90, 194.40, 191.725, 192.53, 42672152
12/28/23, 194.14, 194.66, 193.17, 193.58, 34049898
12/27/23, 192.49, 193.50, 191.09, 193.15, 48087680
12/26/23, 193.61, 193.89, 192.83, 193.05, 28919311
12/22/23, 195.18, 195.41, 192.97, 193.60, 37149566
12/21/23, 196.10, 197.08, 193.50, 194.68, 46482551
12/20/23, 196.90, 197.68, 194.83, 194.83, 52242820
12/19/23, 196.16, 196.95, 195.89, 196.94, 40714047
12/18/23, 196.09, 196.63, 194.39, 195.89, 55751859
12/15/23, 197.53, 198.3999, 197.00, 197.57, 128538398
12/14/23, 198.02, 199.62, 196.16, 198.11, 66831570
12/13/23, 195.09, 198.00, 194.85, 197.96, 70404180
12/12/23, 193.08, 194.72, 191.721, 194.71, 52696898
12/11/23, 193.11, 193.49, 191.42, 193.18, 60943699
12/08/23, 194.20, 195.99, 193.67, 195.71, 53406359
12/07/23, 193.63, 195.00, 193.59, 194.27, 47477660
12/06/23, 194.45, 194.76, 192.11, 192.32, 41089738
12/05/23, 190.21, 194.40, 190.18, 193.42, 66628398
12/04/23, 189.98, 190.05, 187.4511, 189.43, 43389520
12/01/23, 190.33, 191.56, 189.23, 191.24, 45704820
11/30/23, 189.84, 190.32, 188.19, 189.95, 48794367
11/29/23, 190.90, 192.09, 188.97, 189.37, 43014219
11/28/23, 189.78, 191.08, 189.40, 190.40, 38415422
11/27/23, 189.92, 190.67, 188.90, 189.79, 40552609
11/24/23, 190.87, 190.90, 189.25, 189.97, 24048340
11/22/23, 191.49, 192.93, 190.825, 191.31, 39630008
11/21/23, 191.41, 191.52, 189.74, 190.64, 38134488
11/20/23, 189.89, 191.905, 189.88, 191.45, 46538609
11/17/23, 190.25, 190.38, 188.57, 189.69, 50941398
11/16/23, 189.57, 190.96, 188.65, 189.71, 54412922
11/15/23, 187.845, 189.50, 187.78, 188.01, 53790500
11/14/23, 187.70, 188.11, 186.30, 187.44, 60108379
11/13/23, 185.82, 186.03, 184.21, 184.80, 43627520
11/10/23, 183.97, 186.565, 183.53, 186.40, 66177922
11/09/23, 182.96, 184.12, 181.81, 182.41, 53763539
11/08/23, 182.35, 183.45, 181.59, 182.89, 49340281
11/07/23, 179.18, 182.44, 178.97, 181.82, 70529969
11/06/23, 176.38, 179.43, 176.21, 179.23, 63841312
11/03/23, 174.24, 176.82, 173.35, 176.65, 79829250
11/02/23, 175.52, 177.78, 175.46, 177.57, 77334750
11/01/23, 171.00, 174.23, 170.12, 173.97, 56934910
10/31/23, 169.35, 170.90, 167.90, 170.77, 44846020
10/30/23, 169.02, 171.17, 168.87, 170.29, 51130961
10/27/23, 166.91, 168.96, 166.83, 168.22, 58499129
10/26/23, 170.37, 171.3775, 165.67, 166.89, 70625266
10/25/23, 171.88, 173.06, 170.65, 171.10, 57156961
10/24/23, 173.05, 173.67, 171.45, 173.44, 43816641
10/23/23, 170.91, 174.01, 169.93, 173.00, 55980113
10/20/23, 175.31, 175.42, 172.64, 172.88, 64244031
10/19/23, 176.04, 177.84, 175.19, 175.46, 59302859
10/18/23, 175.58, 177.575, 175.11, 175.84, 54764379
10/17/23, 176.645, 178.42, 174.80, 177.15, 57549352
10/16/23, 176.75, 179.075, 176.51, 178.72, 52516980
10/13/23, 181.42, 181.93, 178.14, 178.85, 51456078
10/12/23, 180.07, 182.34, 179.04, 180.71, 56743121
10/11/23, 178.20, 179.85, 177.60, 179.80, 47551102
10/10/23, 178.10, 179.72, 177.95, 178.39, 43698020
10/09/23, 176.81, 179.05, 175.80, 178.99, 42390770
10/06/23, 173.80, 177.99, 173.18, 177.49, 57266680
10/05/23, 173.79, 175.45, 172.68, 174.91, 48527922
10/04/23, 171.09, 174.21, 170.97, 173.66, 53020289
10/03/23, 172.255, 173.63, 170.82, 172.40, 49594609
10/02/23, 171.22, 174.30, 170.93, 173.75, 52164539
09/29/23, 172.02, 173.07, 170.341, 171.21, 51861078
09/28/23, 169.34, 172.03, 167.62, 170.69, 56294422
09/27/23, 172.62, 173.04, 169.05, 170.43, 66921805
09/26/23, 174.82, 175.20, 171.66, 171.96, 64588953
09/25/23, 174.20, 176.97, 174.15, 176.08, 46172738
09/22/23, 174.67, 177.079, 174.05, 174.79, 56725391
09/21/23, 174.55, 176.30, 173.86, 173.93, 63149121
09/20/23, 179.26, 179.695, 175.40, 175.49, 58436180
09/19/23, 177.52, 179.63, 177.13, 179.07, 51826941
09/18/23, 176.48, 179.38, 176.17, 177.97, 67257570
09/15/23, 176.48, 176.495, 173.82, 175.01, 109259508
09/14/23, 174.00, 176.10, 173.58, 175.74, 60895762
09/13/23, 176.51, 177.30, 173.98, 174.21, 84267930
