Date, Open, High, Low, Close, Volume,sigma
2019-10-07,56.5675,57.4825,56.46,56.765,123557080,0.015009932659378635
2019-10-08,56.455,57.015,56.0825,56.1,117130796,0.013551207173223768
2019-10-09,56.7575,56.9475,56.41,56.7575,76117680,0.013783377580376654
2019-10-10,56.9825,57.61,56.825,57.5225,115851920,0.013123387132758076
2019-10-11,58.2375,59.41,58.0769,59.0525,167960828,0.014217978293176595
2019-10-14,58.725,59.5336,58.6675,58.9675,97653920,0.014270165854574711
2019-10-15,59.0975,59.4125,58.72,58.83,92161920,0.014259634063046875
2019-10-16,58.3425,58.81,58.3,58.5925,77146756,0.014112780336004202
2019-10-17,58.7725,59.0375,58.38,58.82,69091600,0.01343719451497446
2019-10-18,58.6475,59.395,58.5725,59.1025,97508680,0.013437717750143489
2019-10-21,59.38,60.2475,59.33,60.1275,89469920,0.013576362004115874
2019-10-22,60.29,60.55,59.9055,59.99,90736000,0.013455276438792766
2019-10-23,60.525,60.81,60.305,60.795,79730204,0.013395476598503311
2019-10-24,61.1275,61.2,60.4513,60.895,71665040,0.013200189155164258
2019-10-25,60.79,61.6825,60.72,61.645,73477204,0.012597091340882815
2019-10-28,61.855,62.3125,61.68,62.2625,96572960,0.012630686359375403
2019-10-29,62.2425,62.4375,60.6425,60.8225,142839484,0.012374832732065634
2019-10-30,61.19,61.325,60.3025,60.815,124522080,0.012421972678422233
2019-10-31,61.81,62.2925,59.315,62.19,139162080,0.011919933773517077
2019-11-01,62.385,63.9825,62.29,63.955,151125312,0.013007603226201668
2019-11-04,64.3325,64.4613,63.845,64.375,103271796,0.012249053224379369
2019-11-05,64.2625,64.5475,64.08,64.2825,79897720,0.01235900014432978
2019-11-06,64.1925,64.3725,63.8413,64.31,75864476,0.01232078518859907
2019-11-07,64.685,65.0875,64.5275,64.8575,94940320,0.01129348828368949
2019-11-08,64.6725,65.11,64.2125,65.035,70082000,0.011201310217495439
2019-11-11,64.575,65.6175,64.57,65.55,82029844,0.011063011798184865
2019-11-12,65.3875,65.6975,65.23,65.49,87388920,0.010931725047371795
2019-11-13,65.2825,66.195,65.2675,66.1175,103270360,0.010950568516280167
2019-11-14,65.9375,66.22,65.525,65.66,89582244,0.01135813920428887
2019-11-15,65.92,66.445,65.7525,66.44,100374680,0.011111186173514854
2019-11-18,66.45,66.8575,66.0575,66.775,86803600,0.0109583664246829
2019-11-19,66.975,67.0,66.3482,66.5725,76278400,0.010965544258256564
2019-11-20,66.385,66.5208,65.1,65.7975,106439680,0.011587069314781826
2019-11-21,65.9225,66.0013,65.295,65.5025,121395116,0.011570023119943902
2019-11-22,65.6475,65.795,65.21,65.445,65325040,0.011486360727741708
2019-11-25,65.6775,66.61,65.63,66.5925,84118080,0.010115056650557603
2019-11-26,66.735,66.79,65.625,66.0725,105339524,0.010471505663158109
2019-11-27,66.395,66.995,66.3275,66.96,65544476,0.009774579709588649
2019-11-29,66.65,67.0,66.475,66.8125,46617440,0.00785649032605349
2019-12-02,66.8175,67.0625,65.8625,66.04,94774204,0.008395986939456153
2019-12-03,64.5775,64.8825,64.0725,64.8625,117509080,0.00947439796520584
2019-12-04,65.2675,65.8275,65.17,65.435,67241564,0.009664104280985731
2019-12-05,65.9475,66.4725,65.6825,66.395,74645360,0.010027969350665739
2019-12-06,66.87,67.75,66.825,67.6775,106189960,0.010849345508409448
2019-12-09,67.5,67.7,66.2275,66.73,128730600,0.011355841562559707
